id,gender,pescoço_px,peito_px,cintura_px,quadril_px,coxa_px,joelho_px,panturrilha_px,abdomen_px,biceps_px
syn_m000000-2-Pos,1,21.086387634277344,99.88288879394531,95.14030456542969,65.72189331054688,61.85109405517578,57.1201171875,53.70689849853516,96.80020904541016,146.45245971679688
syn_m000005-2-Pos,1,23.009378051757814,108.99179077148438,104.17622985839844,72.74267578125,69.90825805664063,66.4439697265625,59.37808532714844,105.86167617797851,158.73420410156248
syn_m000006-2-Pre,1,23.560005798339844,111.60002746582032,105.55699157714844,71.30563354492188,69.22383422851563,66.67941284179688,59.24367370605469,107.6720541381836,182.64144287109374
syn_m000006-3-Pre,1,24.171249389648438,114.49539184570312,108.30183868408203,73.17349243164062,70.50364990234375,67.24050903320312,58.01570129394531,110.46958229064941,185.74273681640625
syn_m000009-3-Pre,1,26.59002685546875,125.9527587890625,118.89349517822265,79.79318237304688,73.99016265869142,66.8975830078125,61.021723937988284,121.3642374420166,212.5266357421875
syn_m000013-1-Pre,1,25.773701782226563,122.08595581054688,115.38857421875,77.75823974609375,72.23651123046875,65.48773193359375,59.29887237548829,117.73265777587889,204.30867919921874
syn_m000013-1-Pos,1,24.395511779785156,115.5576873779297,110.48055572509766,77.20635986328125,73.10082397460938,68.08294677734375,58.10145568847656,112.25755180358888,162.52082519531248
syn_m000020-0-Pre,1,23.903731384277343,113.22820129394532,107.0584457397461,72.23577880859375,67.2311767578125,61.11444091796875,55.66993255615235,109.21786018371583,190.6463195800781
syn_m000020-1-Pre,1,24.533367309570313,116.21068725585938,109.7144989013672,73.670166015625,67.97312316894532,61.01007080078125,55.29995422363282,111.98816482543947,196.8907470703125
syn_m000021-2-Pos,1,21.227188720703126,100.54984130859376,95.8902816772461,66.48843383789062,65.00703735351563,63.196441650390625,61.858732604980474,97.52112754821778,147.33918457031248
syn_m000031-2-Pre,1,24.049420471191407,113.91830749511719,107.67447662353516,72.57183837890625,68.6686019897461,63.897979736328125,60.4566635131836,109.85981742858885,193.80245361328124
syn_m000033-3-Pos,1,22.574740295410155,106.93298034667968,102.17522735595702,71.27386474609375,68.9749755859375,66.16522216796875,57.74854125976563,103.84044090270996,150.6985107421875
syn_m000038-3-Pos,1,24.102794189453125,114.17113037109375,108.9787094116211,75.77651977539062,74.26783599853516,72.42388916015625,60.49769439697266,110.79605674743652,160.78315429687498
syn_m000040-0-Pre,1,21.76376708984375,103.0915283203125,97.42661590576172,65.63320922851562,64.20760955810547,62.4652099609375,56.07486114501953,99.4093352508545,171.14139404296876
