measure,MAE_mean,MAE_std,RMSE_mean,RMSE_std
abd_circ,7.407215221070435,0.10552843724069662,9.463176650948366,0.10122573958561272
biceps_circ,2.076017201512516,0.04281737598401964,2.604653962289434,0.05162445830385392
calf_circ,1.995922871548722,0.0249090555932009,2.501242395028455,0.038309259336641574
chest_circ,5.185414638001758,0.05039444127174498,6.536518141392828,0.08203924121608527
hip_circ,3.848680473007419,0.11957446536486158,4.924437388843322,0.13637095413171102
knee_circ,2.0787982618514382,0.04141460348325351,2.6208684643392353,0.05372926769455726
macro_avg,3.798942501694576,0.05090087475627273,4.813681764151971,0.06249206614553898
neck_circ,1.8108697579537953,0.04607998080337849,2.2863193209063044,0.0610577382188843
thigh_circ,2.96257868680661,0.059305595951845196,3.724963140222436,0.07833364793844028
waist_circ,6.8249854034984905,0.0906806440931984,8.660956413397361,0.1030192915052074
