fold,measure,MAE,RMSE
0,chest_circ,5.237701919983797,6.631098656528714
0,waist_circ,6.954475854100912,8.800736612363504
0,hip_circ,3.9624709703091936,5.09526819075259
0,thigh_circ,3.028127780291135,3.819638563880942
0,knee_circ,2.1183669549169326,2.6798940647253495
0,calf_circ,2.0279645534631383,2.5491600800373826
0,abd_circ,7.521973992919779,9.58181426364658
0,neck_circ,1.8726479451127118,2.3721822686537415
0,biceps_circ,2.1248408611096283,2.6586880052560677
0,macro_avg,3.8720634258008024,4.909831189538319
1,chest_circ,5.229550144701589,6.601318706867455
1,waist_circ,6.8008538619279895,8.622654548169855
1,hip_circ,3.9891115798929655,5.045791690272648
1,thigh_circ,3.0112799421535015,3.78341456940651
1,knee_circ,2.1194680275436433,2.6728096902731284
1,calf_circ,1.9957465486205763,2.493486522726824
1,abd_circ,7.369874768700882,9.413272895869415
1,neck_circ,1.7620960806678503,2.215500176713798
1,biceps_circ,2.1024727397547074,2.642427303175122
1,macro_avg,3.820050410440412,4.832297344830528
2,chest_circ,5.131504531165046,6.451600869602902
2,waist_circ,6.844268225027138,8.697770862744367
2,hip_circ,3.729231857713701,4.804490885536957
2,thigh_circ,2.9267957244001983,3.655799429165059
2,knee_circ,2.047002798693958,2.5649558986362493
2,calf_circ,1.9683262801531562,2.453623529120014
2,abd_circ,7.465378171066929,9.531740063453155
2,neck_circ,1.8425240764555963,2.3047314147497318
2,biceps_circ,2.0158344009682216,2.5320408387948166
2,macro_avg,3.7745406739604386,4.777417087978138
3,chest_circ,5.192916411957559,6.542870487956136
3,waist_circ,6.824507135504396,8.664087483900047
3,hip_circ,3.805859159957768,4.862948627731775
3,thigh_circ,2.9618674021878775,3.7266263541517075
3,knee_circ,2.0815286706044143,2.612531301378291
3,calf_circ,1.9752651240504815,2.480254637088934
3,abd_circ,7.433599733720191,9.465537722055887
3,neck_circ,1.8009220426604349,2.298120238754767
3,biceps_circ,2.052421761844173,2.574313579340192
3,macro_avg,3.792098604720811,4.803032270261971
4,chest_circ,5.135278241662236,6.455705306047612
4,waist_circ,6.701577605154832,8.519604480182077
4,hip_circ,3.7571551998039685,4.813622623548722
4,thigh_circ,2.8846541952837663,3.639331983503638
4,knee_circ,2.0277114502890123,2.5741578453182417
4,calf_circ,2.0123484649592207,2.529686884677429
4,abd_circ,7.246673095778386,9.323572242975267
4,neck_circ,1.7762269892753624,2.24108621209709
4,biceps_circ,2.08452697980525,2.6157994861843887
4,macro_avg,3.7362391357791145,4.745840784948274
