measure,MAE_mean,MAE_std,RMSE_mean,RMSE_std
abd_circ,7.407499952437233,0.10537590449567262,9.46318743760006,0.10094698392293387
biceps_circ,2.076019348696396,0.04282165281190984,2.6046538425501176,0.051633153895919694
calf_circ,1.9959301942493148,0.024923957896027422,2.5012423307301166,0.03831902091937477
chest_circ,5.185390249894046,0.05039378509390953,6.536518805400564,0.08204662826502104
hip_circ,3.848765753535519,0.11952787214211998,4.924424403568539,0.1363432911065217
knee_circ,2.078815580409592,0.04137625749653953,2.6208697600662516,0.05375759867943076
macro_avg,3.798998450140316,0.05090726353456442,4.813683735511446,0.06249437723530797
neck_circ,1.8108834268343912,0.04608820188378688,2.2863240621938257,0.061057550437989876
thigh_circ,2.9625450088632954,0.059206509273617994,3.7249621800215715,0.07826091876340747
waist_circ,6.825136536343054,0.09076278770580001,8.66097079747197,0.1028968077436406
